City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,dudinka,69.4058,86.1778,246.91,100,40,1.61,RU,1701206246
131,monaghan,54.25,-6.9667,276.14,93,54,1.62,IE,1701206247
132,olyokminsk,60.3736,120.4264,254.45,94,100,3.42,RU,1701206247
133,argo,37.6333,22.7333,291.36,73,32,6.03,GR,1701206248
134,veraval,20.9,70.3667,295.49,68,0,4.54,IN,1701206249
135,puerto ayora,-0.7393,-90.3518,300.13,91,79,4.92,EC,1701206249
136,avarua,-21.2078,-159.775,300.18,74,75,8.75,CK,1701206250
137,enewetak,11.3474,162.3373,300.9,77,97,10.82,MH,1701206251
138,coffeyville,37.0373,-95.6164,287.6,39,0,7.2,US,1701206251
139,colesberg,-30.72,25.0972,295.97,28,94,9.01,ZA,1701206251
140,melfort,52.8667,-104.6177,276.22,60,7,4.63,CA,1701206108
141,queenstown,-31.8976,26.8753,288.74,74,95,3.21,ZA,1701206252
142,wailua homesteads,22.0669,-159.378,295.59,86,75,4.12,US,1701206253
143,mugia,43.1041,-9.2179,288.8,95,100,7.8,ES,1701206253
144,uturoa,-16.7333,-151.4333,300.18,79,58,8.63,PF,1701206254
145,port alfred,-33.5906,26.891,292.69,73,100,3.58,ZA,1701206254
146,bac lieu,9.285,105.7244,297.79,89,100,4.22,VN,1701206254
147,laojunmiao,39.8333,97.7333,268.82,57,3,2.6,CN,1701206255
148,fale old settlement,-9.3852,-171.2468,302.08,70,100,6.33,TK,1701206256
149,brisas de zicatela,15.8369,-97.0419,303.44,54,40,3.09,MX,1701206182
150,khanty-mansiysk,61.0042,69.0019,270.21,80,0,3.13,RU,1701206257
151,letlhakeng,-24.0944,25.0298,300.72,29,7,0.03,BW,1701206257
152,playa del ingles,27.7567,-15.5787,292.26,76,39,2.85,ES,1701206258
153,isafjordur,66.0755,-23.124,273.7,77,100,1.15,IS,1701206258
154,vorgashor,67.5833,63.95,259.79,91,100,3.07,RU,1701206259
155,dipayal,29.2608,80.94,289.36,64,32,1.69,NP,1701206259
156,tainan,22.9908,120.2133,296.41,88,75,0.0,TW,1701206260
157,inhambane,-23.865,35.3833,297.96,81,0,5.7,MZ,1701206260
158,vilyuysk,63.7553,121.6247,255.25,92,42,3.95,RU,1701206261
159,cidreira,-30.1811,-50.2056,292.56,92,100,9.66,BR,1701206261
160,livingston,55.9029,-3.5226,275.52,83,40,1.03,GB,1701206261
161,badger,64.8,-147.5333,265.57,90,75,1.54,US,1701206262
162,susuman,62.7833,148.1667,244.03,100,99,0.4,RU,1701206262
163,newman,37.3138,-121.0208,292.2,32,0,0.89,US,1701206263
164,gadzhiyevo,69.2551,33.3362,271.54,83,100,8.19,RU,1701206263
165,el bauga,18.262,33.9081,298.69,44,0,4.05,SD,1701206264
166,kaintragarh,20.7167,84.5333,291.67,74,4,0.92,IN,1701206264
167,santa marta,11.2408,-74.199,306.18,71,20,7.72,CO,1701206265
168,niafunke,15.9322,-3.9906,300.19,15,0,5.16,ML,1701206265
169,valparaiso,-33.0393,-71.6273,293.28,65,40,4.63,CL,1701206266
170,maragogi,-9.0122,-35.2225,298.75,71,4,4.1,BR,1701206266
171,pahrump,36.2083,-115.9839,288.85,22,16,1.34,US,1701206267
172,luderitz,-26.6481,15.1594,292.64,71,65,11.14,NA,1701206267
173,port elizabeth,-33.918,25.5701,290.55,83,40,9.77,ZA,1701206267
174,tazovsky,67.4667,78.7,257.82,95,100,3.74,RU,1701206268
175,atherton,53.5237,-2.4935,277.83,90,47,1.31,GB,1701206268
176,arraial do cabo,-22.9661,-42.0278,298.13,83,20,10.8,BR,1701206269
177,miranda,3.2499,-76.2281,301.24,75,98,0.22,CO,1701206269
178,la passe,45.5549,-0.8967,277.28,75,7,0.52,FR,1701206269
179,ghat,24.9647,10.1728,291.73,16,0,1.43,LY,1701206270
180,egilsstadir,65.2653,-14.3948,277.1,81,75,5.14,IS,1701206270
181,ceylanpinar,36.8472,40.05,280.96,48,3,2.17,TR,1701206271
182,trairi,-3.2778,-39.2689,300.04,76,13,5.02,BR,1701206150
183,porto velho,-8.7619,-63.9039,301.18,78,75,4.12,BR,1701206271
184,ust'-kulom,61.6864,53.6902,268.21,96,100,2.2,RU,1701206272
